자치구,범죄,cctv,경찰서,파출소지구대,소방서,마트,미술관,공연장,영화관,헬스,풋살,테니스,탁구,축구,족구,야구,스쿼시,수영,배드민턴,배구,농구,도서관,쇼핑,지하철,시내버스,광역버스,기차,따릉이,공원,미세먼지,소음,풍수해,주택침수,병원,미취학교육,초등학교,중학교,고등학교,특수학교,인구통계,집값,노인시설,장애인시설,아동시설
강남구,,7243,14,21,1,20,12,36,10,,2,5,3,5,2,,2,8,8,,4,,,21,,,,171,,,,,,,,33,25,22,,,,74,52,
강동구,,3192,9,16,1,13,2,5,3,,2,5,5,5,4,2,,7,10,2,9,,,14,,,,122,,,,,,,,26,18,14,2,,,82,47,
강북구,,3321,9,14,1,5,2,5,3,,1,2,1,2,1,,1,5,5,,1,,,3,,,,61,,,,,,,,14,13,7,4,,,96,30,
강서구,,3353,10,12,1,20,3,2,6,,1,6,5,6,5,,,3,12,,7,,,9,,,,189,,,,,,,,35,23,23,,,,134,60,
관악구,,5642,9,18,1,8,4,3,2,,1,4,,4,1,,1,4,9,2,3,,,4,,,,79,,,,,,,,22,16,17,3,,,100,27,
광진구,,3592,10,12,1,9,3,14,6,,2,3,1,3,1,,,5,4,,2,,,11,,,,86,,,,,,,,21,13,9,,,,63,15,
구로구,,4831,8,17,1,12,1,9,3,,1,5,2,5,,,,8,8,1,5,,,7,,,,114,,,,,,,,26,14,14,2,,,85,31,
금천구,,2885,5,12,1,7,,5,2,,2,2,3,2,,,,4,5,,3,,,1,,,,76,,,,,,,,18,9,6,2,,,58,22,
노원구,,2626,8,16,1,16,6,4,5,,6,3,3,3,2,2,,5,10,,5,,,13,,,,136,,,,,,,,42,27,25,,,,137,56,
도봉구,,2385,8,9,1,9,4,9,2,,1,4,2,4,1,,,4,7,3,3,,,3,,,,76,,,,,,,,23,13,10,,,,120,25,
동대문구,,2759,10,20,1,13,5,3,1,,,3,1,3,,,1,6,7,1,3,,,6,,,,84,,,,,,,,21,15,11,,,,103,9,
동작구,,2690,7,17,1,12,1,3,2,,,5,4,5,1,,,5,8,1,4,,,12,,,,74,,,,,,,,21,16,7,2,,,77,20,
마포구,,2638,8,15,1,13,5,38,8,,4,3,4,3,3,,,6,9,2,9,,,16,,,,120,,,,,,,,22,14,9,2,,,66,21,
서대문구,,3538,8,10,1,12,6,9,5,,2,4,1,4,,1,,3,9,,6,,,5,,,,81,,,,,,,,19,14,7,1,,,77,19,
서초구,,4995,6,19,1,11,10,32,3,,1,7,4,7,3,,,8,7,1,10,,,12,,,,148,,,,,,,,24,16,12,,,,53,27,
성동구,,4175,9,15,1,8,6,10,2,,4,6,2,6,4,2,1,6,11,,3,,,14,,,,92,,,,,,,,21,11,9,,,,51,14,
성북구,,4957,10,24,1,18,13,13,2,,3,3,2,3,3,,1,4,8,,3,,,9,,,,82,,,,,,,,29,18,13,1,,,83,9,
송파구,,3253,11,21,1,32,10,12,4,,3,5,1,5,3,1,1,6,11,3,10,,,28,,,,218,,,,,,,,40,28,19,2,,,119,51,
양천구,,3890,8,15,1,15,,5,2,,3,2,3,2,4,3,,7,11,3,8,,,5,,,,112,,,,,,,,30,18,15,,,,129,25,
영등포구,,4660,10,15,1,18,3,7,3,,2,2,2,2,3,1,,6,7,1,10,,,11,,,,155,,,,,,,,23,12,9,,,,93,18,
용산구,,2970,7,12,1,7,12,14,3,,1,2,3,2,1,,,5,4,1,5,,,10,,,,91,,,,,,,,15,9,10,,,,47,10,
은평구,,4653,9,20,1,13,3,1,2,,2,4,1,4,1,,,3,5,,3,,,13,,,,98,,,,,,,,30,18,18,2,,,120,37,
종로구,,1966,20,22,1,3,60,171,6,,,3,4,3,,1,,3,11,,6,,,15,,,,102,,,,,,,,13,9,15,6,,,35,12,
중구,,2584,15,18,1,11,20,26,9,,,3,,3,,,,4,3,2,3,,,23,,,,88,,,,,,,,12,8,12,2,,,27,12,
중랑구,,4193,8,17,1,13,,2,3,,,2,,2,2,2,,3,7,,4,,,8,,,,93,,,,,,,,24,14,10,,,,148,14,
